student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,online_courses_completed,tutoring,final_exam_score,previous_gpa,pass_fail,grade_category,internet_access_enc,tutoring_enc,gender_enc,parental_education_enc,family_income_enc,study_environment_enc,pass_fail_enc,grade_A,grade_B,grade_C,grade_D,grade_F,productive_hours,study_attendance,engagement_score,disadvantage_index,social_study_ratio
S00011,Male,17,Master,Medium,Yes,Noisy,2.94,79.3,6.56,2.3,82.0,1,No,55.2,2.39,Pass,D,1,0,0,2,1,0,1,0,0,0,1,0,9.5,233.142,80.65,1,0.7823129225091396
S00012,Male,15,Bachelor,Low,Yes,Moderate,3.42,83.4,7.97,0.4,76.4,6,No,60.9,2.27,Pass,D,1,0,0,1,0,1,1,0,0,0,1,0,11.39,285.228,79.9,2,0.11695906398549982
S00013,Male,18,Master,Low,No,Moderate,4.27,93.6,7.37,1.1,88.9,0,No,49.0,2.01,Fail,F,0,0,0,2,0,1,0,0,0,0,0,1,11.64,399.6719999999999,91.25,3,0.25761124061449364
S00014,Male,17,High School,Medium,Yes,Noisy,4.77,92.7,5.34,3.5,69.3,6,No,57.4,2.45,Pass,D,1,0,0,0,1,0,1,0,0,0,1,0,10.11,442.179,81.0,1,0.733752619006808
S00015,Female,17,Bachelor,Medium,Yes,Quiet,3.33,89.7,6.01,3.2,57.8,2,Yes,49.4,2.14,Fail,F,1,1,1,1,1,2,0,0,0,0,0,1,9.34,298.701,73.75,0,0.9609609580751923
S00016,Male,15,High School,High,Yes,Moderate,2.47,95.3,5.67,0.0,83.0,1,Yes,58.8,2.25,Pass,D,1,1,0,0,2,1,1,0,0,0,1,0,8.14,235.39100000000002,89.15,0,0.0
S00017,Female,17,High School,Medium,Yes,Moderate,4.25,89.1,8.03,2.2,96.8,4,No,47.5,1.89,Fail,F,1,0,1,0,1,1,0,0,0,0,0,1,12.28,378.67499999999995,92.94999999999999,1,0.5176470576055364
S00018,Female,17,High School,High,Yes,Quiet,2.26,99.5,6.3,2.3,70.3,5,No,45.4,2.11,Fail,F,1,0,1,0,2,2,0,0,0,0,0,1,8.559999999999999,224.86999999999998,84.9,1,1.0176991105411544
S00019,Female,18,High School,Medium,Yes,Quiet,1.09,67.9,7.63,1.1,91.8,1,Yes,61.2,3.01,Pass,D,1,1,1,0,1,2,1,0,0,0,1,0,8.72,74.01100000000001,79.85,0,1.0091743026681257
S00020,Male,17,High School,Low,Yes,Noisy,4.13,84.4,9.17,2.3,90.1,4,Yes,61.1,2.31,Pass,D,1,1,0,0,0,0,1,0,0,0,1,0,13.3,348.572,87.25,1,0.5569007250438239
S00021,Female,16,High School,Medium,No,Quiet,4.59,84.0,7.79,3.1,100.0,3,No,70.7,2.78,Pass,C,0,0,1,0,1,2,1,0,0,1,0,0,12.379999999999999,385.56,92.0,2,0.6753812621451389
S00022,Male,15,High School,Medium,Yes,Noisy,2.01,82.8,6.58,3.6,100.0,2,No,37.9,1.36,Fail,F,1,0,0,0,1,0,0,0,0,0,0,1,8.59,166.42799999999997,91.4,1,1.7910447672087328
S00023,Female,17,Master,Medium,Yes,Moderate,5.35,90.0,6.26,2.7,88.7,4,Yes,57.8,2.09,Pass,D,1,1,1,2,1,1,1,0,0,0,1,0,11.61,481.49999999999994,89.35,0,0.504672896252948
S00024,Female,15,High School,Medium,Yes,Moderate,3.7,87.1,6.69,3.5,78.2,1,Yes,57.7,2.36,Pass,D,1,1,1,0,1,1,1,0,0,0,1,0,10.39,322.27,82.65,0,0.9459459433893352
S00025,Female,15,Bachelor,Medium,Yes,Quiet,3.52,93.2,5.97,2.5,55.8,0,No,50.6,1.83,Pass,D,1,0,1,1,1,2,1,0,0,0,1,0,9.49,328.064,74.5,1,0.7102272707095816
S00026,Female,15,High School,Medium,Yes,Moderate,2.38,73.2,5.86,0.0,94.6,1,No,41.1,1.68,Fail,F,1,0,1,0,1,1,0,0,0,0,0,1,8.24,174.216,83.9,1,0.0
S00027,Female,17,Master,Low,Yes,Quiet,4.22,100.0,6.2,2.3,97.0,0,No,60.5,2.59,Pass,D,1,0,1,2,0,2,1,0,0,0,1,0,10.42,422.0,98.5,2,0.5450236953909391
S00028,Female,17,Master,Low,Yes,Quiet,1.17,81.1,7.53,0.7,76.1,2,No,35.6,1.76,Fail,F,1,0,1,2,0,2,0,0,0,0,0,1,8.7,94.88699999999999,78.6,2,0.5982905931770035
S00029,Female,15,Bachelor,Low,Yes,Noisy,2.59,87.9,6.48,2.7,85.3,0,Yes,53.9,2.4,Pass,D,1,1,1,1,0,0,1,0,0,0,1,0,9.07,227.661,86.6,1,1.0424710384460578
S00030,Female,16,Bachelor,Low,Yes,Quiet,2.12,82.9,6.77,2.2,64.6,4,No,39.9,2.22,Fail,F,1,0,1,1,0,2,0,0,0,0,0,1,8.89,175.74800000000002,73.75,2,1.0377358441616233
S00031,Male,15,High School,Medium,Yes,Moderate,1.43,85.8,7.47,2.2,71.0,1,Yes,42.3,2.04,Fail,F,1,1,0,0,1,1,0,0,0,0,0,1,8.9,122.69399999999999,78.4,0,1.5384615277030664
S00032,Male,16,Phd,Low,Yes,Noisy,4.04,79.7,7.73,1.2,60.2,0,No,61.3,2.64,Pass,D,1,0,0,3,0,0,1,0,0,0,1,0,11.77,321.988,69.95,2,0.29702970223507497
S00033,Female,15,Master,Medium,No,Quiet,3.41,87.1,5.07,1.9,84.0,2,No,63.2,2.35,Pass,D,0,0,1,2,1,2,1,0,0,0,1,0,8.48,297.01099999999997,85.55,2,0.5571847490991649
S00034,Female,18,Master,Medium,Yes,Moderate,3.97,90.8,5.28,3.0,74.0,2,No,49.9,2.07,Fail,F,1,0,1,2,1,1,0,0,0,0,0,1,9.25,360.476,82.4,1,0.7556675043937846
S00035,Female,15,Bachelor,Low,No,Moderate,2.67,61.0,6.61,1.1,98.7,0,No,38.2,1.78,Fail,F,0,0,1,1,0,1,0,0,0,0,0,1,9.280000000000001,162.87,79.85,3,0.4119850171835768
S00036,Male,15,High School,High,Yes,Moderate,4.18,81.7,5.89,1.6,83.5,1,No,54.2,2.21,Pass,D,1,0,0,0,2,1,1,0,0,0,1,0,10.07,341.506,82.6,1,0.382775118701495
S00037,Female,17,Master,Medium,No,Noisy,3.09,81.3,7.85,0.0,85.3,2,No,54.5,1.76,Pass,D,0,0,1,2,1,0,1,0,0,0,1,0,10.94,251.21699999999998,83.3,2,0.0
S00038,Male,16,High School,Low,Yes,Noisy,2.43,100.0,6.54,2.9,80.2,2,No,43.9,1.46,Fail,F,1,0,0,0,0,0,0,0,0,0,0,1,8.97,243.00000000000003,90.1,2,1.1934156329489067
S00039,Male,18,Bachelor,High,Yes,Moderate,2.23,93.6,8.8,0.6,100.0,1,Yes,53.9,1.82,Pass,D,1,1,0,1,2,1,1,0,0,0,1,0,11.030000000000001,208.72799999999998,96.8,0,0.26905829475758614
S00040,Male,16,High School,Low,Yes,Moderate,0.62,100.0,6.51,2.5,100.0,2,No,42.9,1.92,Fail,F,1,0,0,0,0,1,0,0,0,0,0,1,7.13,62.0,100.0,2,4.032257999479709
S00041,Male,18,Master,Low,Yes,Moderate,4.4,90.6,7.31,3.6,77.4,2,Yes,45.1,2.08,Fail,F,1,1,0,2,0,1,0,0,0,0,0,1,11.71,398.64,84.0,1,0.818181816322314
S00042,Male,15,High School,Medium,Yes,Moderate,4.26,85.8,6.33,4.4,84.5,3,No,60.1,2.35,Pass,D,1,0,0,0,1,1,1,0,0,0,1,0,10.59,365.508,85.15,1,1.0328638473406953
S00043,Female,17,High School,Medium,Yes,Moderate,6.51,88.6,7.49,2.0,100.0,2,No,75.4,2.96,Pass,C,1,0,1,0,1,1,1,0,0,1,0,0,14.0,576.786,94.3,1,0.30721966158645214
S00044,Female,17,Bachelor,Low,Yes,Quiet,2.6,96.2,7.51,3.4,62.4,2,No,39.9,1.47,Fail,F,1,0,1,1,0,2,0,0,0,0,0,1,10.11,250.12,79.3,2,1.3076923026627219
S00045,Female,16,Master,Low,Yes,Quiet,2.2,100.0,7.89,2.5,84.5,3,No,66.1,2.42,Pass,C,1,0,1,2,0,2,1,0,0,1,0,0,10.09,220.00000000000003,92.25,2,1.1363636311983472
S00046,Female,17,Bachelor,High,Yes,Noisy,0.96,88.0,6.87,0.0,74.7,0,No,34.9,1.24,Fail,F,1,0,1,1,2,0,0,0,0,0,0,1,7.83,84.47999999999999,81.35,1,0.0
S00047,Female,16,High School,Medium,Yes,Quiet,4.15,78.8,8.27,0.3,100.0,0,Yes,63.2,2.4,Pass,D,1,1,1,0,1,2,1,0,0,0,1,0,12.42,327.02000000000004,89.4,0,0.07228915645231528
S00048,Male,16,High School,Low,Yes,Moderate,3.88,94.2,7.3,3.8,88.0,1,Yes,53.5,2.29,Pass,D,1,1,0,0,0,1,1,0,0,0,1,0,11.18,365.496,91.1,1,0.9793814407747901
S00049,Female,18,Master,Medium,Yes,Noisy,4.86,76.5,6.36,4.2,53.9,1,No,48.0,2.0,Fail,F,1,0,1,2,1,0,0,0,0,0,0,1,11.22,371.79,65.2,1,0.8641975290860133
S00050,Female,16,Phd,High,No,Quiet,1.9,88.9,6.36,0.0,73.8,4,Yes,45.7,1.69,Fail,F,0,1,1,3,2,2,0,0,0,0,0,1,8.26,168.91,81.35,1,0.0
S00051,Male,18,Master,Low,Yes,Moderate,3.86,91.8,7.73,3.0,100.0,3,No,67.6,2.72,Pass,C,1,0,0,2,0,1,1,0,0,1,0,0,11.59,354.34799999999996,95.9,2,0.7772020705253833
S00052,Female,17,Bachelor,Medium,No,Quiet,2.37,83.9,8.26,2.9,93.4,1,No,39.3,1.2,Fail,F,0,0,1,1,1,2,0,0,0,0,0,1,10.629999999999999,198.84300000000002,88.65,2,1.223628686820132
S00053,Male,16,Master,Medium,Yes,Noisy,4.61,76.0,5.88,1.3,64.4,0,No,59.2,2.42,Pass,D,1,0,0,2,1,0,1,0,0,0,1,0,10.49,350.36,70.2,1,0.2819956609935018
S00054,Female,16,Bachelor,Medium,No,Quiet,3.64,80.5,7.75,1.3,65.3,4,No,45.0,1.46,Fail,F,0,0,1,1,1,2,0,0,0,0,0,1,11.39,293.02,72.9,2,0.35714285616169544
S00055,Male,15,Bachelor,Medium,Yes,Moderate,1.13,81.8,5.51,0.9,81.2,3,No,30.6,0.93,Fail,F,1,0,0,1,1,1,0,0,0,0,0,1,6.64,92.43399999999998,81.5,1,0.7964601699428305
S00056,Female,16,Bachelor,High,Yes,Moderate,2.84,74.5,6.38,0.0,79.2,2,No,49.2,2.67,Fail,F,1,0,1,1,2,1,0,0,0,0,0,1,9.219999999999999,211.57999999999998,76.85,1,0.0
S00057,Female,16,Bachelor,Low,Yes,Moderate,0.66,81.1,7.49,0.9,76.1,3,No,43.1,1.68,Fail,F,1,0,1,1,0,1,0,0,0,0,0,1,8.15,53.525999999999996,78.6,2,1.3636363429752067
S00058,Male,15,Master,Low,Yes,Quiet,1.6,70.5,6.15,3.5,74.0,1,No,32.1,1.61,Fail,F,1,0,0,2,0,2,0,0,0,0,0,1,7.75,112.80000000000001,72.25,2,2.1874999863281253
S00059,Male,15,Bachelor,High,Yes,Moderate,1.68,90.9,8.47,2.0,71.2,1,No,42.6,1.68,Fail,F,1,0,0,1,2,1,0,0,0,0,0,1,10.15,152.71200000000002,81.05000000000001,1,1.1904761833900228
S00060,Male,17,High School,Medium,Yes,Quiet,2.23,88.3,7.61,3.6,100.0,4,No,44.3,1.76,Fail,F,1,0,0,0,1,2,0,0,0,0,0,1,9.84,196.909,94.15,1,1.6143497685455168
S00061,Male,16,High School,Medium,Yes,Quiet,2.68,87.7,5.82,0.0,74.5,2,No,70.3,2.81,Pass,C,1,0,0,0,1,2,1,0,0,1,0,0,8.5,235.03600000000003,81.1,1,0.0
S00062,Male,17,High School,Medium,Yes,Moderate,3.2,81.1,7.66,3.2,70.1,3,Yes,42.1,1.58,Fail,F,1,1,0,0,1,1,0,0,0,0,0,1,10.86,259.52,75.6,0,0.9999999968750001
S00063,Male,17,Bachelor,Medium,Yes,Quiet,3.14,82.5,5.68,3.7,87.6,5,Yes,55.7,2.6,Pass,D,1,1,0,1,1,2,1,0,0,0,1,0,8.82,259.05,85.05,0,1.1783439452918982
S00064,Male,15,High School,Medium,Yes,Moderate,2.97,76.7,7.0,0.0,78.5,1,No,46.6,1.87,Fail,F,1,0,0,0,1,1,0,0,0,0,0,1,9.97,227.79900000000004,77.6,1,0.0
S00065,Male,18,High School,High,Yes,Noisy,3.4,90.1,7.88,1.7,66.2,1,No,47.8,2.13,Fail,F,1,0,0,0,2,0,0,0,0,0,0,1,11.28,306.34,78.15,1,0.4999999985294118
S00066,Female,17,Bachelor,Medium,Yes,Noisy,1.5,71.4,7.71,3.0,76.2,2,No,24.7,0.58,Fail,F,1,0,1,1,1,0,0,0,0,0,0,1,9.21,107.10000000000001,73.80000000000001,1,1.999999986666667
S00067,Female,18,Bachelor,Low,Yes,Moderate,3.09,85.8,6.91,4.5,79.1,4,No,45.4,1.89,Fail,F,1,0,1,1,0,1,0,0,0,0,0,1,10.0,265.12199999999996,82.44999999999999,2,1.456310674898671
S00068,Male,16,Master,Medium,Yes,Quiet,4.72,78.7,6.66,0.4,86.5,3,No,80.5,3.06,Pass,B,1,0,0,2,1,2,1,0,1,0,0,0,11.379999999999999,371.464,82.6,1,0.08474576253231832
S00069,Female,15,Bachelor,Medium,Yes,Moderate,2.8,100.0,5.84,4.6,84.7,1,No,32.6,1.28,Fail,F,1,0,1,1,1,1,0,0,0,0,0,1,8.64,280.0,92.35,1,1.642857136989796
S00070,Female,16,Master,Medium,No,Noisy,3.59,90.3,7.18,3.2,64.8,2,No,55.6,2.32,Pass,D,0,0,1,2,1,0,1,0,0,0,1,0,10.77,324.17699999999996,77.55,2,0.8913649000240533
S00071,Female,16,Master,Medium,Yes,Noisy,3.48,85.0,7.8,1.0,89.1,0,No,77.1,2.66,Pass,C,1,0,1,2,1,0,1,0,0,1,0,0,11.28,295.8,87.05,1,0.2873563210133439
S00072,Female,15,Master,Low,Yes,Moderate,4.03,73.9,9.06,4.0,93.4,3,No,69.7,2.76,Pass,C,1,0,1,2,0,1,1,0,0,1,0,0,13.09,297.81700000000006,83.65,2,0.992555828802591
S00073,Male,16,Bachelor,Medium,Yes,Noisy,3.34,71.4,6.54,6.0,63.9,2,No,54.3,2.45,Pass,D,1,0,0,1,1,0,1,0,0,0,1,0,9.879999999999999,238.476,67.65,1,1.796407180250278
S00074,Female,15,High School,Medium,Yes,Noisy,4.01,90.0,7.85,2.0,68.3,3,Yes,64.8,2.56,Pass,D,1,1,1,0,1,0,1,0,0,0,1,0,11.86,360.9,79.15,0,0.4987531159632092
S00075,Male,18,Phd,Medium,Yes,Noisy,3.61,100.0,7.76,1.9,77.4,0,No,39.3,1.38,Fail,F,1,0,0,3,1,0,0,0,0,0,0,1,11.37,361.0,88.7,1,0.5263157880157457
S00076,Female,16,High School,Medium,Yes,Moderate,3.79,89.1,6.52,1.1,83.3,1,Yes,85.9,3.19,Pass,B,1,1,1,0,1,1,1,0,1,0,0,0,10.309999999999999,337.68899999999996,86.19999999999999,0,0.2902374662526716
S00077,Female,15,High School,Low,Yes,Noisy,3.53,86.8,7.72,5.3,83.9,1,No,54.5,2.05,Pass,D,1,0,1,0,0,0,1,0,0,0,1,0,11.25,306.404,85.35,2,1.5014164263415966
S00078,Female,17,Bachelor,Medium,Yes,Noisy,1.79,86.9,6.18,1.4,79.4,1,No,42.8,1.36,Fail,F,1,0,1,1,1,0,0,0,0,0,0,1,7.97,155.55100000000002,83.15,1,0.7821229006585313
S00079,Male,16,High School,Medium,Yes,Quiet,1.6,86.0,7.26,1.0,58.5,4,No,40.5,1.22,Fail,F,1,0,0,0,1,2,0,0,0,0,0,1,8.86,137.6,72.25,1,0.62499999609375
S00080,Female,18,Phd,Medium,Yes,Noisy,2.58,87.0,6.79,1.6,95.2,0,No,75.1,3.33,Pass,C,1,0,1,3,1,0,1,0,0,1,0,0,9.370000000000001,224.46,91.1,1,0.6201550363559882
S00081,Male,15,Bachelor,Medium,Yes,Quiet,4.86,78.1,7.44,1.6,65.1,3,Yes,54.2,2.42,Pass,D,1,1,0,1,1,2,1,0,0,0,1,0,12.3,379.566,71.6,0,0.32921810631848125
S00082,Female,16,Bachelor,Medium,No,Moderate,2.79,75.3,7.52,1.6,100.0,2,No,75.8,2.4,Pass,C,0,0,1,1,1,1,1,0,0,1,0,0,10.309999999999999,210.087,87.65,2,0.5734767004534885
S00083,Male,16,Bachelor,Low,Yes,Moderate,3.37,86.1,6.47,1.3,97.5,2,No,52.0,1.97,Pass,D,1,0,0,1,0,1,1,0,0,0,1,0,9.84,290.157,91.8,2,0.3857566754131849
S00084,Female,16,Bachelor,Medium,Yes,Moderate,0.64,99.9,6.99,1.4,63.3,3,No,22.9,0.54,Fail,F,1,0,1,1,1,1,0,0,0,0,0,1,7.63,63.93600000000001,81.6,1,2.1874999658203125
S00085,Male,18,High School,Low,Yes,Noisy,3.23,92.8,6.87,2.7,85.3,5,Yes,47.4,2.36,Fail,F,1,1,0,0,0,0,0,0,0,0,0,1,10.1,299.74399999999997,89.05,1,0.8359133101055316
S00086,Male,15,Bachelor,Medium,Yes,Moderate,3.1,72.7,5.91,4.5,100.0,2,No,50.6,2.37,Pass,D,1,0,0,1,1,1,1,0,0,0,1,0,9.01,225.37,86.35,1,1.4516128985431842
S00087,Female,17,Bachelor,Low,Yes,Quiet,0.5,82.4,6.63,1.0,88.8,4,No,27.4,1.39,Fail,F,1,0,1,1,0,2,0,0,0,0,0,1,7.13,41.2,85.6,2,1.9999999600000007
S00088,Male,17,Bachelor,Low,Yes,Quiet,3.35,92.3,6.42,0.5,54.5,2,No,37.8,1.33,Fail,F,1,0,0,1,0,2,0,0,0,0,0,1,9.77,309.205,73.4,2,0.14925373089775004
S00089,Female,17,Master,Medium,No,Moderate,1.02,100.0,5.87,3.0,79.4,1,Yes,53.4,1.88,Pass,D,0,1,1,2,1,1,1,0,0,0,1,0,6.890000000000001,102.0,89.7,1,2.9411764417531723
S00090,Female,15,High School,Medium,Yes,Moderate,2.13,100.0,6.2,3.3,92.5,2,No,45.7,1.58,Fail,F,1,0,1,0,1,1,0,0,0,0,0,1,8.33,213.0,96.25,1,1.5492957673741983
S00091,Female,17,High School,Medium,Yes,Quiet,4.19,82.9,6.74,4.8,100.0,3,No,48.8,2.4,Fail,F,1,0,1,0,1,2,0,0,0,0,0,1,10.93,347.35100000000006,91.45,1,1.1455847228029004
S00092,Female,18,High School,Medium,Yes,Moderate,3.19,93.2,7.06,4.6,78.0,4,No,42.3,1.53,Fail,F,1,0,1,0,1,1,0,0,0,0,0,1,10.25,297.308,85.6,1,1.4420062650720806
S00093,Female,15,High School,Medium,Yes,Quiet,2.46,87.5,5.76,0.1,55.0,2,No,44.0,1.98,Fail,F,1,0,1,0,1,2,0,0,0,0,0,1,8.219999999999999,215.25,71.25,1,0.04065040633881949
S00094,Female,16,Master,Medium,Yes,Moderate,2.36,83.8,8.2,0.0,100.0,0,No,52.7,2.05,Pass,D,1,0,1,2,1,1,1,0,0,0,1,0,10.559999999999999,197.76799999999997,91.9,1,0.0
S00095,Female,18,Master,Medium,No,Quiet,2.5,85.6,7.61,3.3,78.2,3,No,47.3,2.38,Fail,F,0,0,1,2,1,2,0,0,0,0,0,1,10.11,214.0,81.9,2,1.31999999472
S00096,Female,16,High School,Medium,No,Moderate,3.19,85.7,6.91,3.3,100.0,1,No,45.0,1.88,Fail,F,0,0,1,0,1,1,0,0,0,0,0,1,10.1,273.383,92.85,2,1.0344827553777969
S00097,Female,17,Bachelor,Medium,Yes,Quiet,1.56,96.8,5.78,4.7,76.1,1,No,42.9,1.43,Fail,F,1,0,1,1,1,2,0,0,0,0,0,1,7.34,151.008,86.44999999999999,1,3.012820493507561
S00098,Female,18,Bachelor,Medium,Yes,Quiet,4.35,71.0,6.79,3.1,88.2,6,No,49.2,2.24,Fail,F,1,0,1,1,1,2,0,0,0,0,0,1,11.14,308.84999999999997,79.6,1,0.7126436765226583
S00099,Female,15,High School,High,Yes,Noisy,1.62,89.7,6.73,1.7,69.7,3,No,35.4,1.12,Fail,F,1,0,1,0,2,0,0,0,0,0,0,1,8.350000000000001,145.31400000000002,79.7,1,1.0493827095717116
S00100,Male,18,High School,Low,Yes,Moderate,0.93,100.0,5.92,4.1,70.0,2,No,36.0,1.57,Fail,F,1,0,0,0,0,1,0,0,0,0,0,1,6.85,93.0,85.0,2,4.40860210313331
S00101,Male,16,Phd,High,Yes,Moderate,4.19,99.3,5.84,0.9,100.0,5,Yes,69.6,2.62,Pass,C,1,1,0,3,2,1,1,0,0,1,0,0,10.030000000000001,416.067,99.65,0,0.21479713552554383
S00102,Female,15,Bachelor,Low,Yes,Moderate,2.48,90.7,7.77,5.5,94.1,3,Yes,31.3,1.16,Fail,F,1,1,1,1,0,1,0,0,0,0,0,1,10.25,224.936,92.4,1,2.2177419265413634
S00103,Female,18,Phd,Medium,Yes,Moderate,3.08,77.4,6.68,2.9,79.6,0,Yes,60.8,2.59,Pass,D,1,1,1,3,1,1,1,0,0,0,1,0,9.76,238.39200000000002,78.5,0,0.9415584385014336
S00104,Female,18,High School,Low,Yes,Moderate,3.79,92.8,7.89,1.4,94.0,0,Yes,58.6,2.28,Pass,D,1,1,1,0,0,1,1,0,0,0,1,0,11.68,351.712,93.4,1,0.36939313886703656
S00105,Female,18,Bachelor,Medium,Yes,Moderate,2.14,98.2,6.99,1.2,69.8,2,No,39.3,1.52,Fail,F,1,0,1,1,1,1,0,0,0,0,0,1,9.13,210.14800000000002,84.0,1,0.5607476609310856
S00106,Female,18,High School,Low,Yes,Moderate,3.16,79.8,7.75,2.8,80.0,1,No,55.9,2.64,Pass,D,1,0,1,0,0,1,1,0,0,0,1,0,10.91,252.168,79.9,2,0.8860759465630508
S00107,Female,15,High School,High,Yes,Quiet,3.78,88.6,7.72,2.4,81.5,3,Yes,52.1,1.99,Pass,D,1,1,1,0,2,2,1,0,0,0,1,0,11.5,334.90799999999996,85.05,0,0.6349206332409507
S00108,Female,16,Bachelor,High,Yes,Quiet,4.97,82.9,7.47,2.3,68.6,2,Yes,62.9,3.0,Pass,D,1,1,1,1,2,2,1,0,0,0,1,0,12.44,412.01300000000003,75.75,0,0.46277665902861836
S00109,Female,18,High School,Medium,Yes,Noisy,2.39,78.9,8.18,0.5,66.7,2,No,44.2,1.62,Fail,F,1,0,1,0,1,0,0,0,0,0,0,1,10.57,188.57100000000003,72.80000000000001,1,0.20920502004516728
S00110,Male,15,High School,Medium,Yes,Noisy,2.44,81.8,7.1,2.3,51.7,1,Yes,36.3,1.6,Fail,F,1,1,0,0,1,0,0,0,0,0,0,1,9.54,199.59199999999998,66.75,0,0.9426229469564633
S00111,Female,16,High School,High,Yes,Quiet,3.68,86.3,5.51,3.7,65.5,0,No,34.0,1.42,Fail,F,1,0,1,0,2,2,0,0,0,0,0,1,9.19,317.584,75.9,1,1.005434779876536
S00112,Male,18,High School,High,Yes,Quiet,3.25,75.8,5.66,1.4,100.0,3,Yes,60.3,2.59,Pass,D,1,1,0,0,2,2,1,0,0,0,1,0,8.91,246.35,87.9,0,0.430769229443787
S00113,Female,16,Bachelor,Medium,Yes,Quiet,2.84,74.2,6.35,2.9,53.3,2,No,12.6,0.23,Fail,F,1,0,1,1,1,2,0,0,0,0,0,1,9.19,210.728,63.75,1,1.0211267569678635
S00114,Female,16,Bachelor,Medium,Yes,Moderate,4.91,76.1,7.74,4.2,79.5,3,Yes,61.0,2.6,Pass,D,1,1,1,1,1,1,1,0,0,0,1,0,12.65,373.651,77.8,0,0.855397146934018
S00115,Male,15,High School,Medium,Yes,Quiet,0.98,88.3,6.6,3.4,82.3,2,Yes,37.2,1.65,Fail,F,1,1,0,0,1,2,0,0,0,0,0,1,7.58,86.53399999999999,85.3,0,3.469387719700125
S00116,Female,16,High School,Medium,Yes,Moderate,1.29,70.3,7.21,0.7,76.3,2,No,47.9,2.19,Fail,F,1,0,1,0,1,1,0,0,0,0,0,1,8.5,90.687,73.3,1,0.5426356547082507
S00117,Male,15,High School,Medium,Yes,Noisy,0.99,62.8,7.54,3.0,93.1,2,No,45.3,1.91,Fail,F,1,0,0,0,1,0,0,0,0,0,0,1,8.53,62.172,77.94999999999999,1,3.030302999693909
S00118,Female,18,Bachelor,Medium,Yes,Noisy,4.44,98.7,7.16,4.7,75.9,3,No,58.0,2.84,Pass,D,1,0,1,1,1,0,1,0,0,0,1,0,11.600000000000001,438.22800000000007,87.30000000000001,1,1.0585585561744175
S00119,Female,16,High School,Low,Yes,Quiet,3.62,74.9,4.71,3.2,94.3,3,No,51.9,1.97,Pass,D,1,0,1,0,0,2,1,0,0,0,1,0,8.33,271.13800000000003,84.6,2,0.8839778981105584
S00120,Male,16,Master,Medium,Yes,Noisy,1.36,83.1,5.81,4.3,88.2,2,Yes,36.0,1.17,Fail,F,1,1,0,2,1,0,0,0,0,0,0,1,7.17,113.016,85.65,0,3.161764682634083
