student_id,gender,age,parental_education,family_income,internet_access,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,pass_fail,grade_category,gender_encoded,internet_access_encoded,tutoring_encoded,pass_fail_encoded,parental_education_encoded,family_income_encoded,grade_category_encoded,study_environment_Moderate,study_environment_Noisy,study_environment_Quiet,avg_subject_score,study_efficiency,engagement_score,academic_risk,sleep_quality,total_learning_hours,subject_score_range
S00017,Female,17,High School,Medium,Yes,4.25,89.1,8.03,2.2,96.8,69.6,4,No,47.5,44.7,44.8,46.8,47.5,1.89,Fail,F,0,1,0,0,0,1,0,1,0,0,45.95,1.8478260869565215,85.16666666666666,0,2,6.25,2.799999999999997
S00018,Female,17,High School,High,Yes,2.26,99.5,6.3,2.3,70.3,97.4,5,No,42.3,46.2,43.6,49.4,45.4,2.11,Fail,F,0,1,0,0,0,2,0,0,0,1,45.375,0.9416666666666667,89.06666666666668,0,1,4.76,7.100000000000001
S00019,Female,18,High School,Medium,Yes,1.09,67.9,7.63,1.1,91.8,81.9,1,Yes,56.1,58.8,64.0,64.9,61.2,3.01,Pass,D,0,1,1,1,0,1,1,0,0,1,60.95,0.9083333333333332,80.53333333333333,0,2,1.59,8.800000000000004
S00020,Male,17,High School,Low,Yes,4.13,84.4,9.17,2.3,90.1,59.1,4,Yes,47.0,66.6,59.7,65.2,61.1,2.31,Pass,D,1,1,1,1,0,0,1,0,1,0,59.625,1.7208333333333334,77.86666666666667,0,1,6.13,19.599999999999994
S00021,Female,16,High School,Medium,No,4.59,84.0,7.79,3.1,100.0,60.2,3,No,73.1,72.7,65.1,65.2,70.7,2.78,Pass,C,0,0,0,1,0,1,2,0,0,1,69.025,1.434375,81.39999999999999,0,2,6.09,8.0
S00022,Male,15,High School,Medium,Yes,2.01,82.8,6.58,3.6,100.0,89.6,2,No,49.3,41.9,38.5,37.1,37.9,1.36,Fail,F,1,1,0,0,0,1,0,0,1,0,41.699999999999996,0.5432432432432431,90.8,0,1,3.01,12.199999999999996
S00023,Female,17,Master,Medium,Yes,5.35,90.0,6.26,2.7,88.7,80.0,4,Yes,56.6,64.7,57.9,67.0,57.8,2.09,Pass,D,0,1,1,1,2,1,1,1,0,0,61.550000000000004,1.9107142857142854,86.23333333333333,0,1,7.35,10.399999999999999
S00024,Female,15,High School,Medium,Yes,3.7,87.1,6.69,3.5,78.2,59.2,1,Yes,57.7,71.0,47.1,53.1,57.7,2.36,Pass,D,0,1,1,1,0,1,1,1,0,0,57.224999999999994,1.027777777777778,74.83333333333334,0,1,4.2,23.9
S00025,Female,15,Bachelor,Medium,Yes,3.52,93.2,5.97,2.5,55.8,64.6,0,No,40.7,48.1,58.6,59.2,50.6,1.83,Pass,D,0,1,0,1,1,1,1,0,0,1,51.650000000000006,1.3538461538461537,71.2,0,0,3.52,18.5
S00026,Female,15,High School,Medium,Yes,2.38,73.2,5.86,0.0,94.6,69.0,1,No,37.6,37.2,50.3,37.2,41.1,1.68,Fail,F,0,1,0,0,0,1,0,1,0,0,40.575,23.799999999999997,78.93333333333334,0,0,2.88,13.099999999999994
S00027,Female,17,Master,Low,Yes,4.22,100.0,6.2,2.3,97.0,82.3,0,No,48.8,65.9,67.6,60.2,60.5,2.59,Pass,D,0,1,0,1,2,0,1,0,0,1,60.625,1.7583333333333333,93.10000000000001,0,1,4.22,18.799999999999997
S00028,Female,17,Master,Low,Yes,1.17,81.1,7.53,0.7,76.1,66.7,2,No,39.4,48.1,29.8,29.5,35.6,1.76,Fail,F,0,1,0,0,2,0,0,0,0,1,36.7,1.4625000000000001,74.63333333333333,1,2,2.17,18.6
S00029,Female,15,Bachelor,Low,Yes,2.59,87.9,6.48,2.7,85.3,89.7,0,Yes,36.2,62.4,49.6,62.2,53.9,2.4,Pass,D,0,1,1,1,1,0,1,0,1,0,52.599999999999994,0.9249999999999998,87.63333333333333,0,1,2.59,26.199999999999996
S00030,Female,16,Bachelor,Low,Yes,2.12,82.9,6.77,2.2,64.6,75.4,4,No,42.1,37.3,54.4,40.0,39.9,2.22,Fail,F,0,1,0,0,1,0,0,0,0,1,43.45,0.9217391304347825,74.3,0,1,4.12,17.1
S00031,Male,15,High School,Medium,Yes,1.43,85.8,7.47,2.2,71.0,90.4,1,Yes,40.4,27.2,49.7,52.6,42.3,2.04,Fail,F,1,1,1,0,0,1,0,1,0,0,42.475,0.6217391304347825,82.39999999999999,0,2,1.93,25.400000000000002
S00032,Male,16,PhD,Low,Yes,4.04,79.7,7.73,1.2,60.2,52.8,0,No,61.2,74.6,57.1,62.8,61.3,2.64,Pass,D,1,1,0,1,3,0,1,0,1,0,63.925,3.1076923076923078,64.23333333333333,0,2,4.04,17.499999999999993
S00033,Female,15,Master,Medium,No,3.41,87.1,5.07,1.9,84.0,92.5,2,No,48.7,69.3,61.4,66.7,63.2,2.35,Pass,D,0,0,0,1,2,1,1,0,0,1,61.525000000000006,1.705,87.86666666666667,0,0,4.41,20.599999999999994
S00034,Female,18,Master,Medium,Yes,3.97,90.8,5.28,3.0,74.0,87.5,2,No,48.2,49.7,49.7,47.9,49.9,2.07,Fail,F,0,1,0,0,2,1,0,1,0,0,48.87500000000001,1.2806451612903227,84.09999999999998,0,0,4.970000000000001,1.8000000000000043
S00035,Female,15,Bachelor,Low,No,2.67,61.0,6.61,1.1,98.7,71.1,0,No,37.9,35.7,42.9,48.4,38.2,1.78,Fail,F,0,0,0,0,1,0,0,1,0,0,41.225,2.2249999999999996,76.93333333333334,0,1,2.67,12.699999999999996
S00036,Male,15,High School,High,Yes,4.18,81.7,5.89,1.6,83.5,62.1,1,No,50.4,47.0,63.1,59.6,54.2,2.21,Pass,D,1,1,0,1,0,2,1,1,0,0,55.025,2.4588235294117644,75.76666666666667,0,0,4.68,16.1
S00037,Female,17,Master,Medium,No,3.09,81.3,7.85,0.0,85.3,89.5,2,No,49.8,53.9,56.6,67.2,54.5,1.76,Pass,D,0,0,0,1,2,1,1,0,1,0,56.875,30.9,85.36666666666667,0,2,4.09,17.400000000000006
S00038,Male,16,High School,Low,Yes,2.43,100.0,6.54,2.9,80.2,63.1,2,No,46.8,44.7,40.0,39.1,43.9,1.46,Fail,F,1,1,0,0,0,0,0,0,1,0,42.65,0.81,81.1,0,1,3.43,7.699999999999996
S00039,Male,18,Bachelor,High,Yes,2.23,93.6,8.8,0.6,100.0,69.9,1,Yes,64.1,46.1,61.9,45.1,53.9,1.82,Pass,D,1,1,1,1,1,2,1,1,0,0,54.3,3.185714285714286,87.83333333333333,0,2,2.73,18.999999999999993
S00040,Male,16,High School,Low,Yes,0.62,100.0,6.51,2.5,100.0,77.6,2,No,34.2,30.8,59.0,52.4,42.9,1.92,Fail,F,1,1,0,0,0,0,0,1,0,0,44.1,0.23846153846153845,92.53333333333332,1,1,1.62,28.2
S00041,Male,18,Master,Low,Yes,4.4,90.6,7.31,3.6,77.4,53.0,2,Yes,55.1,45.1,39.6,47.4,45.1,2.08,Fail,F,1,1,1,0,2,0,0,1,0,0,46.800000000000004,1.1891891891891893,73.66666666666667,0,2,5.4,15.5
S00042,Male,15,High School,Medium,Yes,4.26,85.8,6.33,4.4,84.5,67.3,3,No,65.6,64.9,65.3,53.0,60.1,2.35,Pass,D,1,1,0,1,0,1,1,1,0,0,62.2,0.9466666666666667,79.19999999999999,0,1,5.76,12.599999999999994
S00043,Female,17,High School,Medium,Yes,6.275,88.6,7.49,2.0,100.0,56.2,2,No,88.0,79.0,72.0,63.3,75.4,2.96,Pass,C,0,1,0,1,0,1,2,1,0,0,75.575,2.988095238095238,81.6,0,2,7.275,24.700000000000003
S00044,Female,17,Bachelor,Low,Yes,2.6,96.2,7.51,3.4,62.4,46.7,2,No,43.9,44.3,34.7,40.7,39.9,1.47,Fail,F,0,1,0,0,1,0,0,0,0,1,40.9,0.7428571428571429,68.43333333333334,0,2,3.6,9.599999999999994
S00045,Female,16,Master,Low,Yes,2.2,100.0,7.89,2.5,84.5,100.0,3,No,68.6,75.5,65.9,64.8,66.1,2.42,Pass,C,0,1,0,1,2,0,2,0,0,1,68.7,0.8461538461538461,94.83333333333333,0,2,3.7,10.700000000000003
S00046,Female,17,Bachelor,High,Yes,0.96,88.0,6.87,0.0,74.7,60.2,0,No,43.8,32.2,32.0,36.2,34.9,1.24,Fail,F,0,1,0,0,1,2,0,0,1,0,36.05,9.6,74.3,1,1,0.96,11.799999999999997
S00047,Female,16,High School,Medium,Yes,4.15,78.8,8.27,0.3,100.0,79.4,0,Yes,58.1,72.2,61.9,55.2,63.2,2.4,Pass,D,0,1,1,1,0,1,1,0,0,1,61.85000000000001,10.375,86.06666666666666,0,2,4.15,17.0
S00048,Male,16,High School,Low,Yes,3.88,94.2,7.3,3.8,88.0,100.0,1,Yes,48.9,65.5,49.9,65.3,53.5,2.29,Pass,D,1,1,1,1,0,0,1,1,0,0,57.400000000000006,0.9948717948717949,94.06666666666666,0,2,4.38,16.6
S00049,Female,18,Master,Medium,Yes,4.86,76.5,6.36,4.2,53.9,60.5,1,No,55.3,28.0,45.9,52.7,48.0,2.0,Fail,F,0,1,0,0,2,1,0,0,1,0,45.474999999999994,1.130232558139535,63.63333333333333,0,1,5.36,27.299999999999997
S00050,Female,16,PhD,High,No,1.9,88.9,6.36,0.0,73.8,51.1,4,Yes,51.8,52.9,43.9,33.1,45.7,1.69,Fail,F,0,0,1,0,3,2,0,0,0,1,45.425,18.999999999999996,71.26666666666667,1,1,3.9,19.799999999999997
S00051,Male,18,Master,Low,Yes,3.86,91.8,7.73,3.0,100.0,96.4,3,No,60.9,73.1,60.8,75.5,67.6,2.72,Pass,C,1,1,0,1,2,0,2,1,0,0,67.575,1.2451612903225806,96.06666666666666,0,2,5.359999999999999,14.700000000000003
S00052,Female,17,Bachelor,Medium,No,2.37,83.9,8.26,2.9,93.4,56.0,1,No,39.6,46.4,26.1,28.7,39.3,1.2,Fail,F,0,0,0,0,1,1,0,0,0,1,35.199999999999996,0.79,77.76666666666668,0,2,2.87,20.299999999999997
S00053,Male,16,Master,Medium,Yes,4.61,76.0,5.88,1.3,64.4,63.8,0,No,62.5,65.5,70.5,47.4,59.2,2.42,Pass,D,1,1,0,1,2,1,1,0,1,0,61.475,3.2928571428571427,68.06666666666666,0,0,4.61,23.1
S00054,Female,16,Bachelor,Medium,No,3.64,80.5,7.75,1.3,65.3,61.4,4,No,43.8,45.7,47.2,44.2,45.0,1.46,Fail,F,0,0,0,0,1,1,0,0,0,1,45.224999999999994,2.5999999999999996,69.06666666666666,0,2,5.640000000000001,3.4000000000000057
S00055,Male,15,Bachelor,Medium,Yes,1.13,81.8,5.51,0.9,81.2,72.3,3,No,42.3,25.6,30.8,26.6,30.6,0.93,Fail,F,1,1,0,0,1,1,0,1,0,0,31.325000000000003,1.13,78.43333333333332,1,0,2.63,16.699999999999996
S00056,Female,16,Bachelor,High,Yes,2.84,74.5,6.38,0.0,79.2,42.7,2,No,49.5,55.3,49.3,53.1,49.2,2.67,Fail,F,0,1,0,0,1,2,0,1,0,0,51.8,28.4,65.46666666666667,0,1,3.84,6.0
S00057,Female,16,Bachelor,Low,Yes,0.66,81.1,7.49,0.9,76.1,79.3,3,No,46.3,41.1,34.9,35.3,43.1,1.68,Fail,F,0,1,0,0,1,0,0,1,0,0,39.400000000000006,0.66,78.83333333333333,1,2,2.16,11.399999999999999
S00058,Male,15,Master,Low,Yes,1.6,70.5,6.15,3.5,74.0,77.0,1,No,31.5,26.4,43.2,15.3,32.1,1.61,Fail,F,1,1,0,0,2,0,0,0,0,1,29.099999999999998,0.4444444444444445,73.83333333333333,1,1,2.1,27.900000000000002
S00059,Male,15,Bachelor,High,Yes,1.68,90.9,8.47,2.0,71.2,83.0,1,No,32.5,47.6,44.3,47.0,42.6,1.68,Fail,F,1,1,0,0,1,2,0,1,0,0,42.849999999999994,0.7999999999999999,81.7,1,2,2.1799999999999997,15.100000000000001
S00060,Male,17,High School,Medium,Yes,2.23,88.3,7.61,3.6,100.0,82.7,4,No,31.0,47.2,54.8,35.2,44.3,1.76,Fail,F,1,1,0,0,0,1,0,0,0,1,42.05,0.6027027027027027,90.33333333333333,0,2,4.23,23.799999999999997
S00061,Male,16,High School,Medium,Yes,2.68,87.7,5.82,0.0,74.5,76.8,2,No,69.0,70.4,61.7,73.4,70.3,2.81,Pass,C,1,1,0,1,0,1,2,0,0,1,68.625,26.8,79.66666666666666,0,0,3.68,11.700000000000003
S00062,Male,17,High School,Medium,Yes,3.2,81.1,7.66,3.2,70.1,65.4,3,Yes,40.3,46.8,41.7,43.6,42.1,1.58,Fail,F,1,1,1,0,0,1,0,1,0,0,43.1,0.9696969696969697,72.2,0,2,4.7,6.5
S00063,Male,17,Bachelor,Medium,Yes,3.14,82.5,5.68,3.7,87.6,70.9,5,Yes,55.3,45.1,60.1,60.6,55.7,2.6,Pass,D,1,1,1,1,1,1,1,0,0,1,55.275,0.8263157894736842,80.33333333333333,0,0,5.640000000000001,15.5
S00064,Male,15,High School,Medium,Yes,2.97,76.7,7.0,0.0,78.5,60.2,1,No,53.5,47.3,42.4,44.4,46.6,1.87,Fail,F,1,1,0,0,0,1,0,1,0,0,46.9,29.7,71.8,0,2,3.47,11.100000000000001
S00065,Male,18,High School,High,Yes,3.4,90.1,7.88,1.7,66.2,72.9,1,No,39.0,39.3,46.1,61.5,47.8,2.13,Fail,F,1,1,0,0,0,2,0,0,1,0,46.475,1.8888888888888888,76.39999999999999,0,2,3.9,22.5
S00066,Female,17,Bachelor,Medium,Yes,1.5,71.4,7.71,3.0,76.2,58.1,2,No,28.5,26.2,27.2,12.8,24.7,0.58,Fail,F,0,1,0,0,1,1,0,0,1,0,23.675,0.48387096774193544,68.56666666666666,1,2,2.5,15.7
S00067,Female,18,Bachelor,Low,Yes,3.09,85.8,6.91,4.5,79.1,72.1,4,No,47.8,40.3,45.4,39.9,45.4,1.89,Fail,F,0,1,0,0,1,0,0,1,0,0,43.35,0.6717391304347826,79.0,0,1,5.09,7.899999999999999
S00068,Male,16,Master,Medium,Yes,4.72,78.7,6.66,0.4,86.5,63.4,3,No,84.7,82.8,67.6,86.0,80.5,3.06,Pass,B,1,1,0,1,2,1,3,0,0,1,80.275,9.44,76.2,0,1,6.22,18.400000000000006
S00069,Female,15,Bachelor,Medium,Yes,2.8,100.0,5.84,4.6,84.7,57.7,1,No,41.1,30.3,36.2,37.8,32.6,1.28,Fail,F,0,1,0,0,1,1,0,1,0,0,36.35,0.5957446808510639,80.8,0,0,3.3,10.8
S00070,Female,16,Master,Medium,No,3.59,90.3,7.18,3.2,64.8,85.8,2,No,50.5,54.6,57.5,55.8,55.6,2.32,Pass,D,0,0,0,1,2,1,1,0,1,0,54.599999999999994,1.0878787878787877,80.30000000000001,0,2,4.59,7.0
S00071,Female,16,Master,Medium,Yes,3.48,85.0,7.8,1.0,89.1,81.9,0,No,84.9,69.9,70.0,73.1,77.1,2.66,Pass,C,0,1,0,1,2,1,2,0,1,0,74.475,3.1636363636363636,85.33333333333334,0,2,3.48,15.0
S00072,Female,15,Master,Low,Yes,4.03,73.9,9.06,4.0,93.4,70.9,3,No,75.7,73.4,64.2,59.0,69.7,2.76,Pass,C,0,1,0,1,2,0,2,1,0,0,68.075,0.9829268292682928,79.4,0,1,5.53,16.700000000000003
S00073,Male,16,Bachelor,Medium,Yes,3.34,71.4,6.54,6.0,63.9,43.9,2,No,58.7,59.9,59.2,39.0,54.3,2.45,Pass,D,1,1,0,1,1,1,1,0,1,0,54.2,0.5475409836065573,59.73333333333334,0,1,4.34,20.9
S00074,Female,15,High School,Medium,Yes,4.01,90.0,7.85,2.0,68.3,56.8,3,Yes,70.9,58.6,56.2,56.8,64.8,2.56,Pass,D,0,1,1,1,0,1,1,0,1,0,60.625,1.9095238095238094,71.7,0,2,5.51,14.700000000000003
S00075,Male,18,PhD,Medium,Yes,3.61,100.0,7.76,1.9,77.4,68.8,0,No,34.9,51.0,44.1,41.3,39.3,1.38,Fail,F,1,1,0,0,3,1,0,0,1,0,42.825,1.805,82.06666666666665,0,2,3.61,16.1
S00076,Female,16,High School,Medium,Yes,3.79,89.1,6.52,1.1,83.3,77.1,1,Yes,87.8,88.4,67.3,91.3,81.6,3.19,Pass,B,0,1,1,1,0,1,3,1,0,0,83.7,3.1583333333333328,83.16666666666666,0,1,4.29,24.0
S00077,Female,15,High School,Low,Yes,3.53,86.8,7.72,5.3,83.9,77.3,1,No,38.5,57.2,56.8,66.4,54.5,2.05,Pass,D,0,1,0,1,0,0,1,0,1,0,54.725,0.6537037037037038,82.66666666666667,0,2,4.029999999999999,27.900000000000006
S00078,Female,17,Bachelor,Medium,Yes,1.79,86.9,6.18,1.4,79.4,73.5,1,No,53.5,41.0,47.3,35.2,42.8,1.36,Fail,F,0,1,0,0,1,1,0,0,1,0,44.25,1.1933333333333334,79.93333333333334,1,1,2.29,18.299999999999997
S00079,Male,16,High School,Medium,Yes,1.6,86.0,7.26,1.0,58.5,70.5,4,No,47.1,40.9,28.9,35.7,40.5,1.22,Fail,F,1,1,0,0,0,1,0,0,0,1,38.150000000000006,1.4545454545454546,71.66666666666667,1,2,3.6,18.200000000000003
S00080,Female,18,PhD,Medium,Yes,2.58,87.0,6.79,1.6,95.2,66.8,0,No,88.0,67.2,72.0,63.6,75.1,3.33,Pass,C,0,1,0,1,3,1,2,0,1,0,72.7,1.5176470588235293,83.0,0,1,2.58,24.4
S00081,Male,15,Bachelor,Medium,Yes,4.86,78.1,7.44,1.6,65.1,60.6,3,Yes,54.5,52.6,60.8,44.8,54.2,2.42,Pass,D,1,1,1,1,1,1,1,0,0,1,53.175,2.8588235294117648,67.93333333333332,0,2,6.36,16.0
S00082,Female,16,Bachelor,Medium,No,2.79,75.3,7.52,1.6,100.0,94.8,2,No,73.1,54.5,75.8,75.3,75.8,2.4,Pass,C,0,0,0,1,1,1,2,1,0,0,69.675,1.6411764705882352,90.03333333333333,0,2,3.79,21.299999999999997
S00083,Male,16,Bachelor,Low,Yes,3.37,86.1,6.47,1.3,97.5,85.5,2,No,46.9,47.8,44.2,57.3,52.0,1.97,Pass,D,1,1,0,1,1,0,1,1,0,0,49.05,2.407142857142857,89.69999999999999,0,1,4.37,13.099999999999994
S00084,Female,16,Bachelor,Medium,Yes,0.64,99.9,6.99,1.4,63.3,78.7,3,No,20.7,13.9,18.6,38.3,22.9,0.54,Fail,F,0,1,0,0,1,1,0,1,0,0,22.875,0.4266666666666667,80.63333333333334,1,1,2.14,24.4
S00085,Male,18,High School,Low,Yes,3.23,92.8,6.87,2.7,85.3,53.0,5,Yes,45.8,57.9,52.2,53.4,47.4,2.36,Fail,F,1,1,1,0,0,0,0,0,1,0,52.324999999999996,1.1535714285714285,77.03333333333333,0,1,5.73,12.100000000000001
S00086,Male,15,Bachelor,Medium,Yes,3.1,72.7,5.91,4.5,100.0,52.3,2,No,46.0,41.2,54.4,44.0,50.6,2.37,Pass,D,1,1,0,1,1,1,1,1,0,0,46.4,0.673913043478261,75.0,0,0,4.1,13.199999999999996
S00087,Female,17,Bachelor,Low,Yes,0.5,82.4,6.63,1.0,88.8,69.5,4,No,25.3,17.1,39.8,38.9,27.4,1.39,Fail,F,0,1,0,0,1,0,0,0,0,1,30.275,0.45454545454545453,80.23333333333333,1,1,2.5,22.699999999999996
S00088,Male,17,Bachelor,Low,Yes,3.35,92.3,6.42,0.5,54.5,62.3,2,No,27.6,38.2,38.7,42.0,37.8,1.33,Fail,F,1,1,0,0,1,0,0,0,0,1,36.625,5.583333333333334,69.7,0,1,4.35,14.399999999999999
S00089,Female,17,Master,Medium,No,1.02,100.0,5.87,3.0,79.4,52.9,1,Yes,60.3,57.9,49.7,53.6,53.4,1.88,Pass,D,0,0,1,1,2,1,1,1,0,0,55.37499999999999,0.32903225806451614,77.43333333333334,1,0,1.52,10.599999999999994
S00090,Female,15,High School,Medium,Yes,2.13,100.0,6.2,3.3,92.5,71.6,2,No,45.7,32.1,55.2,42.5,45.7,1.58,Fail,F,0,1,0,0,0,1,0,1,0,0,43.875,0.6264705882352941,88.03333333333333,0,1,3.13,23.1
S00091,Female,17,High School,Medium,Yes,4.19,82.9,6.74,4.8,100.0,41.7,3,No,41.7,43.3,59.7,33.7,48.8,2.4,Fail,F,0,1,0,0,0,1,0,0,0,1,44.599999999999994,0.8551020408163267,74.86666666666667,0,1,5.69,26.0
S00092,Female,18,High School,Medium,Yes,3.19,93.2,7.06,4.6,78.0,68.6,4,No,39.7,40.9,43.8,45.5,42.3,1.53,Fail,F,0,1,0,0,0,1,0,1,0,0,42.474999999999994,0.6787234042553192,79.93333333333334,0,2,5.1899999999999995,5.799999999999997
S00093,Female,15,High School,Medium,Yes,2.46,87.5,5.76,0.1,55.0,77.6,2,No,31.8,44.7,53.3,50.6,44.0,1.98,Fail,F,0,1,0,0,0,1,0,0,0,1,45.1,12.299999999999999,73.36666666666667,0,0,3.46,21.499999999999996
S00094,Female,16,Master,Medium,Yes,2.36,83.8,8.2,0.0,100.0,77.2,0,No,54.3,36.2,54.9,66.3,52.7,2.05,Pass,D,0,1,0,1,2,1,1,1,0,0,52.925,23.599999999999998,87.00000000000001,0,2,2.36,30.099999999999994
S00095,Female,18,Master,Medium,No,2.5,85.6,7.61,3.3,78.2,42.9,3,No,47.0,44.2,46.4,51.1,47.3,2.38,Fail,F,0,0,0,0,2,1,0,0,0,1,47.175,0.7352941176470589,68.89999999999999,0,2,4.0,6.899999999999999
S00096,Female,16,High School,Medium,No,3.19,85.7,6.91,3.3,100.0,42.2,1,No,42.3,41.2,46.4,41.3,45.0,1.88,Fail,F,0,0,0,0,0,1,0,1,0,0,42.8,0.9382352941176471,75.96666666666665,0,1,3.69,5.199999999999996
S00097,Female,17,Bachelor,Medium,Yes,1.56,96.8,5.78,4.7,76.1,66.8,1,No,47.0,38.6,40.6,50.3,42.9,1.43,Fail,F,0,1,0,0,1,1,0,0,0,1,44.125,0.325,79.89999999999999,1,0,2.06,11.699999999999996
S00098,Female,18,Bachelor,Medium,Yes,4.35,71.0,6.79,3.1,88.2,60.5,6,No,58.0,54.3,44.9,44.7,49.2,2.24,Fail,F,0,1,0,0,1,1,0,0,0,1,50.474999999999994,1.3593749999999998,73.23333333333333,0,1,7.35,13.299999999999997
S00099,Female,15,High School,High,Yes,1.62,89.7,6.73,1.7,69.7,51.7,3,No,31.7,29.7,42.3,43.5,35.4,1.12,Fail,F,0,1,0,0,0,2,0,0,1,0,36.8,0.9,70.36666666666667,1,1,3.12,13.8
S00100,Male,18,High School,Low,Yes,0.93,100.0,5.92,4.1,70.0,37.7,2,No,25.6,46.3,31.9,33.5,36.0,1.57,Fail,F,1,1,0,0,0,0,0,1,0,0,34.325,0.22142857142857147,69.23333333333333,1,0,1.9300000000000002,20.699999999999996
